統計年,區域別, 年底人口數 ,土地面積,人口密度
105,宜蘭縣五結鄉,39657,38.8671,1020
105,宜蘭縣三星鄉,21422,144.2238,149
105,宜蘭縣大同鄉,6083,657.5442,9
105,宜蘭縣南澳鄉,5938,740.652,8
105,新竹縣竹北市,176604,46.8341,3771
105,新竹縣關西鎮,29408,125.5193,234
105,新竹縣新埔鎮,33737,72.1911,467
105,新竹縣竹東鎮,96817,53.5133,1809
105,新竹縣湖口鄉,77524,58.4303,1327
105,新竹縣橫山鄉,13298,66.3502,200
105,新竹縣新豐鄉,56452,46.3496,1218
105,新竹縣芎林鄉,20165,40.7858,494
105,新竹縣寶山鄉,14378,64.7871,222
105,新竹縣北埔鄉,9531,50.6676,188
105,新竹縣峨眉鄉,5593,46.801,120
105,新竹縣尖石鄉,9412,527.5795,18
105,新竹縣五峰鄉,4562,227.728,20
105,苗栗縣苗栗市,89892,37.8878,2373
105,苗栗縣頭份市,103157,53.3205,1935
105,苗栗縣苑裡鎮,47040,68.2473,689
105,苗栗縣通霄鎮,35433,107.8486,329
105,苗栗縣竹南鎮,85010,37.5592,2263
105,苗栗縣後龍鎮,37251,75.8079,491
105,苗栗縣卓蘭鎮,17612,76.3153,231
105,苗栗縣大湖鄉,15070,90.8396,166
105,苗栗縣公館鄉,34210,71.4523,479
105,苗栗縣銅鑼鄉,18465,78.3805,236
105,苗栗縣南庄鄉,10391,165.4938,63
105,苗栗縣頭屋鄉,11102,52.5046,211
105,苗栗縣三義鄉,16813,69.3424,242
105,苗栗縣西湖鄉,7288,41.0758,177
105,苗栗縣造橋鄉,13166,47.9978,274
105,苗栗縣三灣鄉,6884,52.2964,132
105,苗栗縣獅潭鄉,4475,79.4324,56
105,苗栗縣泰安鄉,5930,614.5127,10
105,彰化縣彰化市,234690,65.6947,3572
105,彰化縣員林市,124932,40.038,3120
105,彰化縣鹿港鎮,86709,39.4625,2197
105,彰化縣和美鎮,91162,39.9345,2283
105,彰化縣北斗鎮,33253,19.2547,1727
105,彰化縣溪湖鎮,55675,32.0592,1737
105,彰化縣田中鎮,42152,34.6056,1218
105,彰化縣二林鎮,51516,92.8478,555
105,彰化縣線西鄉,16939,18.0856,937
105,彰化縣伸港鄉,36756,22.3268,1646
105,彰化縣福興鄉,47479,49.8934,952
105,彰化縣秀水鄉,39344,29.3447,1341
105,彰化縣花壇鄉,46142,36.3469,1269
105,彰化縣芬園鄉,23881,38.0204,628
105,彰化縣大村鄉,36762,30.7837,1194
105,彰化縣埔鹽鄉,32782,38.6081,849
105,彰化縣埔心鄉,34788,20.9526,1660
105,彰化縣永靖鄉,37773,20.6382,1830
105,彰化縣社頭鄉,43342,36.1449,1199
105,彰化縣二水鄉,15500,29.4449,526
105,彰化縣田尾鄉,27567,24.0375,1147
105,彰化縣埤頭鄉,30797,42.7508,720
105,彰化縣芳苑鄉,34039,91.3827,372
105,彰化縣大城鄉,17284,63.7406,271
105,彰化縣竹塘鄉,15491,42.1662,367
105,彰化縣溪州鄉,30391,75.831,401
105,南投縣南投市,100960,71.6021,1410
105,南投縣埔里鎮,81574,162.2227,503
105,南投縣草屯鎮,98431,104.0327,946
105,南投縣竹山鎮,55493,247.3339,224
105,南投縣集集鎮,11035,49.7268,222
105,南投縣名間鄉,39220,83.0955,472
105,南投縣鹿谷鄉,18010,141.8981,127
105,南投縣中寮鄉,15083,146.6541,103
105,南投縣魚池鄉,16154,121.3735,133
105,南投縣國姓鄉,19098,175.7042,109
105,南投縣水里鄉,18015,106.8424,169
105,南投縣信義鄉,16381,1422.4188,12
105,南投縣仁愛鄉,15709,1273.5312,12
105,雲林縣斗六市,108401,93.7151,1157
105,雲林縣斗南鎮,45227,48.1505,939
105,雲林縣虎尾鎮,70815,68.742,1030
105,雲林縣西螺鎮,46597,49.7985,936
105,雲林縣土庫鎮,29275,49.0212,597
105,雲林縣北港鎮,40658,41.4999,980
105,雲林縣古坑鄉,31995,166.6059,192
105,雲林縣大埤鄉,19480,44.9973,433
105,雲林縣莿桐鄉,29089,50.8502,572
105,雲林縣林內鄉,18453,37.6035,491
105,雲林縣二崙鄉,27518,59.5625,462
105,雲林縣崙背鄉,25083,58.484,429
105,雲林縣麥寮鄉,45126,80.1668,563
105,雲林縣東勢鄉,15120,48.3562,313
105,雲林縣褒忠鄉,13167,37.0552,355
105,雲林縣臺西鄉,24212,54.0983,448
105,雲林縣元長鄉,26361,71.5872,368
105,雲林縣四湖鄉,24151,77.1189,313
105,雲林縣口湖鄉,28074,80.4612,349
105,雲林縣水林鄉,26071,72.9582,357
105,嘉義縣太保市,37497,66.8964,561
105,嘉義縣朴子市,42585,49.5737,859
105,嘉義縣布袋鎮,27509,61.7307,446
105,嘉義縣大林鎮,31379,64.1663,489
105,嘉義縣民雄鄉,71834,85.4969,840
105,嘉義縣溪口鄉,14933,33.0463,452
105,嘉義縣新港鄉,32385,66.0495,490
105,嘉義縣六腳鄉,23787,62.2619,382
105,嘉義縣東石鄉,25307,81.5821,310
105,嘉義縣義竹鄉,18822,79.2925,237
105,嘉義縣鹿草鄉,15808,54.3151,291
105,嘉義縣水上鄉,50084,69.1198,725
105,嘉義縣中埔鄉,45395,129.5016,351
105,嘉義縣竹崎鄉,36226,162.2256,223
105,嘉義縣梅山鄉,19800,119.7571,165
105,嘉義縣番路鄉,11695,117.5269,100
105,嘉義縣大埔鄉,4610,173.2472,27
105,嘉義縣阿里山鄉,5664,427.8471,13
105,屏東縣屏東市,201644,65.067,3099
105,屏東縣潮州鎮,54703,42.4331,1289
105,屏東縣東港鎮,48097,29.4635,1632
105,屏東縣恆春鎮,30783,136.763,225
105,屏東縣萬丹鄉,51261,57.4679,892
105,屏東縣長治鄉,30159,39.8861,756
105,屏東縣麟洛鄉,11125,16.26,684
105,屏東縣九如鄉,22083,42.0187,526
105,屏東縣里港鄉,26995,68.9208,392
105,屏東縣鹽埔鄉,26199,64.3493,407
105,屏東縣高樹鄉,24882,90.1522,276
105,屏東縣萬巒鄉,20609,60.7315,339
105,屏東縣內埔鄉,55181,81.8554,674
105,屏東縣竹田鄉,17351,29.0732,597
105,屏東縣新埤鄉,9927,59.0102,168
105,屏東縣枋寮鄉,24826,57.7347,430
105,屏東縣新園鄉,35680,38.3109,931
105,屏東縣崁頂鄉,15916,31.2659,509
105,屏東縣林邊鄉,18317,15.6233,1172
105,屏東縣南州鄉,10808,18.97,570
105,屏東縣佳冬鄉,19689,30.9842,635
105,屏東縣琉球鄉,12423,6.8018,1826
105,屏東縣車城鄉,8741,49.8517,175
105,屏東縣滿州鄉,7847,142.2013,55
105,屏東縣枋山鄉,5535,17.2697,321
105,屏東縣三地門鄉,7662,196.3965,39
105,屏東縣霧臺鄉,3285,278.796,12
105,屏東縣瑪家鄉,6773,78.7008,86
105,屏東縣泰武鄉,5262,118.6266,44
105,屏東縣來義鄉,7494,167.7756,45
105,屏東縣春日鄉,4855,160.001,30
105,屏東縣獅子鄉,4827,301.0018,16
105,屏東縣牡丹鄉,4853,181.8366,27
105,臺東縣臺東市,106368,109.7691,969
105,臺東縣成功鎮,14411,143.9939,100
105,臺東縣關山鎮,8811,58.7351,150
105,臺東縣卑南鄉,17443,412.6871,42
105,臺東縣大武鄉,6238,69.1454,90
105,臺東縣太麻里鄉,11304,96.6523,117
105,臺東縣東河鄉,8686,210.1908,41
105,臺東縣長濱鄉,7399,155.1868,48
105,臺東縣鹿野鄉,8018,89.698,89
105,臺東縣池上鄉,8375,82.6854,101
105,臺東縣綠島鄉,3724,15.0919,247
105,臺東縣延平鄉,3523,455.8805,8
105,臺東縣海端鄉,4283,880.0382,5
105,臺東縣達仁鄉,3524,306.4454,11
105,臺東縣金峰鄉,3612,380.6635,9
105,臺東縣蘭嶼鄉,5083,48.3892,105
105,花蓮縣花蓮市,105034,29.4095,3571
105,花蓮縣鳳林鎮,11004,120.5181,91
105,花蓮縣玉里鎮,24740,252.3719,98
105,花蓮縣新城鄉,20274,29.4095,689
105,花蓮縣吉安鄉,83656,65.2582,1282
105,花蓮縣壽豐鄉,18146,218.4448,83
105,花蓮縣光復鄉,13032,157.11,83
105,花蓮縣豐濱鄉,4439,162.4332,27
105,花蓮縣瑞穗鄉,11757,135.5862,87
105,花蓮縣富里鄉,10557,176.3705,60
105,花蓮縣秀林鄉,15796,1641.8555,10
105,花蓮縣萬榮鄉,6440,618.491,10
105,花蓮縣卓溪鄉,6036,1021.313,6
105,澎湖縣馬公市,61740,33.9918,1816
105,澎湖縣湖西鄉,14435,33.3008,433
105,澎湖縣白沙鄉,9799,20.0875,488
105,澎湖縣西嶼鄉,8403,18.7148,449
105,澎湖縣望安鄉,5131,13.7824,372
105,澎湖縣七美鄉,3755,6.9868,537
105,基隆市中正區,52572,10.2118,5148
105,基隆市七堵區,54103,56.2659,962
105,基隆市暖暖區,38407,22.8283,1682
105,基隆市仁愛區,45021,4.2335,10634
105,基隆市中山區,48115,10.5238,4572
105,基隆市安樂區,82014,18.025,4550
105,基隆市信義區,51868,10.6706,4861
105,新竹市東區,209826,33.5768,6249
105,新竹市北區,149993,15.7267,9537
105,新竹市香山區,77518,54.8491,1413
105,嘉義市東區,122462,30.1556,4061
105,嘉義市西區,147412,29.87,4935
105,金門縣金城鎮,42726,21.713,1968
105,金門縣金湖鎮,28833,41.696,692
105,金門縣金沙鎮,20312,41.19,493
105,金門縣金寧鄉,30006,29.854,1005
105,金門縣烈嶼鄉,12568,16.003,785
105,金門縣烏坵鄉,669,1.2,558
105,連江縣南竿鄉,7382,10.4,710
105,連江縣北竿鄉,2344,9.9,237
105,連江縣莒光鄉,1562,4.7,332
105,連江縣東引鄉,1307,3.8,344
105,東沙群島,0,2.38,0
105,南沙群島,0,0.5045,0
